127.0.0.1 - - [20/Apr/2023:12:12:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:15 +0900] "GET /ctc/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/main/main.do HTTP/1.1" 200 51444
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/ctc.png HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/logo.png HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/search.png HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/css/swiper.css HTTP/1.1" 200 19256
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/css/main.css HTTP/1.1" 200 12068
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/jquery/swiper.js HTTP/1.1" 200 242369
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/event/event_3.png HTTP/1.1" 200 119756
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/event/event_4.png HTTP/1.1" 200 103086
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/event/event_1.png HTTP/1.1" 200 140277
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/CADO220013_4.jpg HTTP/1.1" 200 174381
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/CADO220009_1.png HTTP/1.1" 200 205445
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/event/event_2.png HTTP/1.1" 200 716859
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/CADO220019_6.jpg HTTP/1.1" 200 201649
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/CADO220001_1.jpg HTTP/1.1" 200 150238
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/CADO190048_4.jpg HTTP/1.1" 200 148466
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/C160000327_15.jpg HTTP/1.1" 200 263017
0:0:0:0:0:0:0:1 - - [20/Apr/2023:12:12:26 +0900] "GET /ctc/resources/image/hotel/CADO210049_3.jpg HTTP/1.1" 200 221236
